Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,Sales_Category
40909,Central,Major Market,Amaretto,Beans,Coffee,Ohio,Regular,60,80,50,140,60,336,80,19,34,140,46,Medium
40909,Central,Major Market,Colombian,Beans,Coffee,Ohio,Regular,60,80,50,140,57,364,83,18,42,140,41,Medium
40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,60,90,20,150,63,435,87,57,0,150,87,Medium
40909,Central,Major Market,Earl Grey,Leaves,Tea,Ohio,Regular,70,100,60,170,84,500,116,26,67,200,49,High
40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,90,40,150,58,338,72,22,16,130,56,Medium
40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,210,140,400,170,1091,171,47,99,341,72,High
40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,456,48,8,29,80,19,Low
40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,821,48,8,29,80,19,Low
40909,Central,Major Market,Darjeeling,Leaves,Tea,Ohio,Regular,70,110,60,180,84,651,126,27,68,210,58,High
40909,Central,Small Market,Amaretto,Beans,Coffee,Wisconsin,Regular,50,70,30,120,54,312,66,20,13,120,53,Medium
40909,Central,Small Market,Colombian,Beans,Coffee,Wisconsin,Regular,80,110,20,190,79,551,111,72,9,190,102,Medium
40909,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Wisconsin,Decaf,80,100,60,180,77,432,103,25,51,180,52,Medium
40909,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Regular,60,90,10,150,75,522,105,68,7,180,98,Medium
40909,Central,Small Market,Decaf Espresso,Beans,Espresso,Wisconsin,Decaf,50,70,50,120,48,623,62,15,34,110,28,Low
40909,Central,Small Market,Caffe Mocha,Beans,Espresso,Wisconsin,Regular,80,90,50,170,69,965,81,21,38,150,43,Medium
40909,Central,Small Market,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,50,100,80,150,67,400,113,20,70,180,43,Medium
40909,Central,Small Market,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,20,50,50,70,33,777,48,9,28,81,20,Low
40909,Central,Small Market,Darjeeling,Leaves,Tea,Wisconsin,Regular,50,80,50,130,61,390,89,19,47,150,42,Medium
40909,East,Small Market,Darjeeling,Leaves,Tea,Connecticut,Regular,50,80,60,130,50,821,73,14,47,123,26,Medium
40909,East,Small Market,Green Tea,Leaves,Tea,Connecticut,Regular,40,60,40,100,38,777,56,10,35,94,21,Low
40909,East,Small Market,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,50,70,40,120,55,312,75,18,30,130,45,Medium
40909,East,Small Market,Caffe Mocha,Beans,Espresso,Connecticut,Regular,70,100,20,170,75,522,105,68,7,180,98,Medium
40909,East,Small Market,Colombian,Beans,Coffee,Connecticut,Regular,110,180,130,290,124,961,186,40,115,310,71,High
40909,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,60,80,40,140,85,494,105,32,40,190,65,Medium
40909,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Decaf,50,80,50,130,78,965,92,24,47,170,45,Medium
40909,East,Major Market,Darjeeling,Leaves,Tea,Florida,Regular,30,50,40,80,32,821,48,8,28,80,20,Low
40909,East,Major Market,Green Tea,Leaves,Tea,Florida,Regular,30,50,40,80,33,777,48,9,28,81,20,Low
40909,East,Major Market,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,100,60,170,77,432,103,25,50,180,53,Medium
40909,East,Major Market,Caffe Mocha,Beans,Espresso,Florida,Regular,70,110,30,180,79,551,111,72,9,190,102,Medium
40909,East,Major Market,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,110,70,190,84,500,116,26,67,200,49,High
40909,East,Major Market,Colombian,Beans,Coffee,Florida,Regular,80,110,70,190,84,651,126,27,68,210,58,High
40909,East,Major Market,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,50,30,80,48,623,62,15,34,110,28,Low
40909,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Decaf,40,50,20,90,54,312,66,20,13,120,53,Medium
40909,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,50,60,40,110,69,965,81,21,39,150,42,Medium
40909,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,821,48,8,29,80,19,Low
40909,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,456,48,8,29,80,19,Low
40909,East,Major Market,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,170,110,330,170,1091,171,47,100,341,71,High
40909,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,60,60,-10,120,63,435,63,57,-23,126,86,Medium
40909,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,60,400,360,460,72,558,422,23,367,494,55,High
40909,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,40,60,30,100,58,338,72,22,17,130,55,Medium
40909,East,Small Market,Darjeeling,Leaves,Tea,New Hampshire,Regular,10,30,20,40,18,821,27,5,10,45,17,Low
40909,East,Small Market,Green Tea,Leaves,Tea,New Hampshire,Regular,10,30,20,40,17,777,26,4,11,43,15,Low
40909,East,Small Market,Regular Espresso,Beans,Espresso,New Hampshire,Regular,20,40,0,60,29,169,36,11,-8,65,44,Low
40909,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,30,50,0,80,37,261,53,34,-10,90,63,Low
40909,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,30,50,30,80,38,241,55,12,20,93,35,Low
40909,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,40,70,40,110,48,372,72,15,25,120,47,Medium
40909,East,Small Market,Lemon,Leaves,Herbal Tea,New Hampshire,Decaf,20,30,0,50,34,197,42,12,-4,76,46,Low
40909,East,Major Market,Darjeeling,Leaves,Tea,New York,Regular,100,150,120,250,95,821,139,26,101,234,38,High
40909,East,Major Market,Earl Grey,Leaves,Tea,New York,Regular,90,140,110,230,89,777,130,24,94,219,36,High
40909,East,Major Market,Green Tea,Leaves,Tea,New York,Regular,50,90,70,140,54,456,80,15,54,134,26,Medium
40909,East,Major Market,Regular Espresso,Beans,Espresso,New York,Regular,210,270,200,480,228,1459,262,63,175,490,87,High
40909,East,Major Market,Caffe Mocha,Beans,Espresso,New York,Regular,100,-50,-170,50,105,725,-44,95,-172,61,128,Low
40909,East,Major Market,Colombian,Beans,Coffee,New York,Regular,260,380,260,640,271,2101,407,94,262,678,145,High
40909,East,Major Market,Lemon,Leaves,Herbal Tea,New York,Decaf,180,190,100,370,245,1419,238,93,111,483,127,High
40909,East,Major Market,Mint,Leaves,Herbal Tea,New York,Decaf,150,-10,-70,140,207,965,-27,64,-113,180,86,Medium
40909,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,50,100,80,150,67,400,113,20,70,180,43,Medium
40909,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,50,70,50,120,61,390,89,19,48,150,41,Medium
40909,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,40,60,40,100,49,623,63,16,35,112,28,Low
40909,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,80,100,40,180,85,494,105,32,40,190,65,Medium
40909,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,60,90,10,150,75,522,105,68,8,180,97,Medium
40909,South,Small Market,Colombian,Beans,Coffee,Louisiana,Regular,40,60,50,100,34,777,51,9,30,85,21,Low
40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,40,60,50,100,33,777,48,9,28,81,20,Low
40909,South,Small Market,Caffe Mocha,Beans,Espresso,New Mexico,Regular,30,40,-10,70,37,261,53,34,-10,90,63,Low
40909,South,Small Market,Decaf Espresso,Beans,Espresso,New Mexico,Decaf,30,40,10,70,35,196,47,11,9,82,38,Low
40909,South,Small Market,Chamomile,Leaves,Herbal Tea,New Mexico,Decaf,10,30,20,40,18,821,27,5,11,45,16,Low
40909,South,Small Market,Lemon,Leaves,Herbal Tea,New Mexico,Decaf,20,40,20,60,28,965,34,8,4,62,30,Low
40909,South,Small Market,Caffe Latte,Beans,Espresso,New Mexico,Regular,20,30,0,50,29,169,36,11,-8,65,44,Low
40909,South,Small Market,Colombian,Beans,Coffee,New Mexico,Regular,60,90,50,150,48,372,72,15,26,120,46,Medium
40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,New Mexico,Decaf,110,10,-30,120,88,525,11,27,-39,99,50,Low
40909,South,Small Market,Caffe Mocha,Beans,Espresso,Oklahoma,Regular,20,40,40,60,32,456,48,8,28,80,20,Low
40909,South,Small Market,Decaf Espresso,Beans,Espresso,Oklahoma,Decaf,70,110,70,180,84,651,126,27,67,210,59,High
40909,South,Small Market,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,50,60,20,110,54,312,66,20,13,120,53,Medium
40909,South,Small Market,Lemon,Leaves,Herbal Tea,Oklahoma,Decaf,70,110,30,180,79,551,111,72,10,190,101,Medium
40909,South,Small Market,Caffe Latte,Beans,Espresso,Oklahoma,Regular,70,100,70,170,84,500,116,26,66,200,50,High
40909,South,Small Market,Colombian,Beans,Coffee,Oklahoma,Regular,50,70,50,120,44,623,56,14,29,100,27,Low
40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,40,60,50,100,32,821,48,8,28,80,20,Low
40909,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Regular,70,110,90,180,89,777,130,24,95,219,35,High
40909,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,40,70,60,110,54,456,80,15,54,134,26,Medium
40909,South,Major Market,Chamomile,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,60,336,80,19,33,140,47,Medium
40909,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,57,364,83,18,42,140,41,Medium
40909,South,Major Market,Caffe Latte,Beans,Espresso,Texas,Regular,60,90,50,150,72,558,108,23,53,180,55,Medium
40909,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,260,300,220,560,207,965,245,64,159,452,86,High
40909,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,130,100,230,83,623,107,27,68,190,39,Medium
40909,West,Small Market,Caffe Latte,Beans,Espresso,Utah,Regular,40,60,40,100,46,777,68,12,44,114,24,Medium
40909,West,Small Market,Caffe Mocha,Beans,Espresso,Utah,Regular,40,60,40,100,49,623,63,16,34,112,29,Low
40909,West,Small Market,Decaf Espresso,Beans,Espresso,Utah,Decaf,40,70,50,110,50,821,73,14,47,123,26,Medium
40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,30,50,30,80,38,241,55,12,21,93,34,Low
40909,West,Small Market,Lemon,Leaves,Herbal Tea,Utah,Decaf,40,60,30,100,48,372,72,15,25,120,47,Medium
40909,West,Small Market,Mint,Leaves,Herbal Tea,Utah,Decaf,70,10,-30,80,88,525,11,27,-40,99,51,Low
40909,West,Small Market,Darjeeling,Leaves,Tea,Utah,Regular,20,40,0,60,37,261,53,34,-10,90,63,Low
40909,West,Small Market,Earl Grey,Leaves,Tea,Utah,Regular,20,30,10,50,35,196,47,11,9,82,38,Low
40909,West,Small Market,Green Tea,Leaves,Tea,Utah,Regular,10,30,10,40,29,169,36,11,-9,65,45,Low
40909,West,Small Market,Amaretto,Beans,Coffee,Utah,Regular,90,120,80,210,78,965,92,24,47,170,45,Medium
40909,West,Small Market,Colombian,Beans,Coffee,Utah,Regular,60,100,70,160,55,312,75,18,30,130,45,Medium
40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Utah,Decaf,100,130,70,230,85,494,105,32,39,190,66,Medium
40909,West,Major Market,Caffe Latte,Beans,Espresso,California,Regular,210,220,150,430,228,1459,228,63,140,456,88,High
40909,West,Major Market,Caffe Mocha,Beans,Espresso,California,Regular,100,140,20,240,105,725,145,95,17,250,128,High
40909,West,Major Market,Decaf Espresso,Beans,Espresso,California,Decaf,220,300,200,520,234,1310,312,77,203,546,109,High
40909,West,Major Market,Chamomile,Leaves,Herbal Tea,California,Decaf,80,120,100,200,95,821,139,26,102,234,37,High
40909,West,Major Market,Lemon,Leaves,Herbal Tea,California,Decaf,170,220,160,390,207,965,245,64,160,452,85,High
40909,West,Major Market,Mint,Leaves,Herbal Tea,California,Decaf,70,90,60,160,83,623,107,27,67,190,40,Medium
40909,West,Major Market,Darjeeling,Leaves,Tea,California,Regular,50,90,80,140,89,777,130,24,94,219,36,High
40909,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,30,60,60,90,54,456,80,15,54,134,26,Medium
40909,West,Major Market,Green Tea,Leaves,Tea,California,Regular,40,80,50,120,72,558,108,23,54,180,54,Medium
40909,West,Major Market,Amaretto,Beans,Coffee,California,Regular,110,70,30,180,95,608,50,30,-2,145,52,Medium
40909,West,Major Market,Colombian,Beans,Coffee,California,Regular,340,500,370,840,271,2101,407,94,262,678,145,High
40909,West,Major Market,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,-40,-120,140,144,862,-26,47,-117,118,91,Medium
40909,West,Small Market,Caffe Latte,Beans,Espresso,Nevada,Regular,10,30,20,40,17,777,26,4,11,43,15,Low
40909,West,Small Market,Caffe Mocha,Beans,Espresso,Nevada,Regular,10,30,20,40,18,821,27,5,10,45,17,Low
40909,West,Small Market,Decaf Espresso,Beans,Espresso,Nevada,Decaf,10,30,20,40,17,777,26,4,11,43,15,Low
40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,30,40,20,70,28,965,34,8,4,62,30,Low
40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Nevada,Decaf,90,130,30,220,105,725,145,95,16,250,129,High
40909,West,Small Market,Lemon,Leaves,Herbal Tea,Nevada,Decaf,120,180,120,300,144,862,201,47,111,345,90,High
40909,West,Small Market,Mint,Leaves,Herbal Tea,Nevada,Decaf,80,120,90,200,95,608,139,30,86,234,53,High
40909,West,Small Market,Darjeeling,Leaves,Tea,Nevada,Regular,150,220,150,370,234,1310,312,77,203,546,109,High
40909,West,Small Market,Earl Grey,Leaves,Tea,Nevada,Regular,150,160,100,310,228,1459,228,63,141,456,87,High
40909,West,Small Market,Green Tea,Leaves,Tea,Nevada,Regular,160,-160,-240,0,245,1419,-245,93,-354,17,126,Low
40909,West,Small Market,Colombian,Beans,Coffee,Nevada,Regular,40,50,10,90,34,197,42,12,-3,76,45,Low
40909,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,50,70,20,120,58,338,72,22,16,130,56,Medium
40909,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,50,80,50,130,60,336,80,19,33,140,47,Medium
40909,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,160,160,100,320,170,1091,171,47,99,341,72,High
40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,70,100,70,170,57,364,83,18,42,140,41,Medium
40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,30,40,40,70,36,777,54,10,33,90,21,Low
40909,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,30,50,30,80,44,623,56,14,29,100,27,Low
40909,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,20,30,30,50,32,456,48,8,28,80,20,Low
40909,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,50,90,60,140,84,651,126,27,68,210,58,High
40909,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,50,80,50,130,84,500,116,26,67,200,49,High
40909,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,70,110,40,180,63,435,87,57,1,150,86,Medium
40909,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,80,120,60,200,67,400,93,22,28,160,65,Medium
40909,West,Small Market,Caffe Latte,Beans,Espresso,Washington,Regular,40,60,40,100,48,623,62,15,35,110,27,Low
40909,West,Small Market,Caffe Mocha,Beans,Espresso,Washington,Regular,50,60,20,110,54,312,66,20,13,120,53,Medium
40909,West,Small Market,Decaf Espresso,Beans,Espresso,Washington,Decaf,60,80,60,140,69,965,81,21,39,150,42,Medium
40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Washington,Decaf,90,140,60,230,79,551,111,72,9,190,102,Medium
40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Washington,Decaf,100,170,120,270,124,961,186,40,115,310,71,High
40909,West,Small Market,Lemon,Leaves,Herbal Tea,Washington,Decaf,20,50,50,70,34,777,51,9,30,85,21,Low
40909,West,Small Market,Darjeeling,Leaves,Tea,Washington,Regular,40,80,50,120,67,400,113,20,70,180,43,Medium
40909,West,Small Market,Earl Grey,Leaves,Tea,Washington,Regular,40,60,40,100,61,390,89,19,48,150,41,Medium
40909,West,Small Market,Green Tea,Leaves,Tea,Washington,Regular,40,80,20,120,75,522,105,68,8,180,97,Medium
40909,West,Small Market,Colombian,Beans,Coffee,Washington,Regular,60,100,70,160,53,338,77,16,38,130,39,Medium
40940,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,100,150,120,250,99,766,144,27,105,243,39,High
40940,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,80,110,80,190,83,613,107,27,68,190,39,Medium
40940,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,140,110,240,95,809,137,26,99,232,38,High
40940,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,30,50,30,80,44,618,56,14,30,100,26,Low
40940,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,80,140,110,220,77,449,112,21,80,189,32,Medium
40940,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,140,90,220,75,549,114,24,59,189,55,Medium
40940,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,150,100,290,170,1073,170,47,99,340,71,High
40940,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,40,70,10,110,54,427,75,49,-3,129,78,Medium
40940,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,70,40,120,60,329,80,19,33,140,47,Medium
40940,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,50,60,10,110,59,331,73,22,18,132,55,Medium
40940,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,50,60,30,110,62,958,74,19,34,136,40,Medium
40940,Central,Major Market,Colombian,Beans,Coffee,Illinois,Regular,150,220,140,370,148,844,206,48,115,354,91,High
40940,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,110,150,100,260,104,596,150,33,95,254,55,High
40940,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,370,260,640,234,1282,311,77,201,545,110,High
40940,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,270,180,530,228,1436,229,63,142,457,87,High
40940,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,80,130,110,210,99,766,144,27,105,243,39,High
40940,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,90,60,160,83,613,107,27,68,190,39,Medium
40940,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,120,100,200,95,809,137,26,99,232,38,High
40940,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Regular,60,100,80,160,77,449,112,21,79,189,33,Medium
40940,Central,Major Market,Earl Grey,Leaves,Tea,Illinois,Regular,60,100,50,160,75,549,114,24,59,189,55,Medium
40940,Central,Small Market,Amaretto,Beans,Coffee,Iowa,Regular,10,30,20,40,18,818,27,5,10,45,17,Low
40940,Central,Small Market,Colombian,Beans,Coffee,Iowa,Regular,20,40,20,60,28,961,35,8,6,63,29,Low
40940,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Iowa,Decaf,20,30,20,50,23,620,31,7,12,54,19,Low
40940,Central,Small Market,Caffe Mocha,Beans,Espresso,Iowa,Regular,20,30,20,50,19,774,28,5,11,47,17,Low
40940,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Decaf,0,50,40,50,0,774,43,0,32,43,11,Low
40940,Central,Small Market,Chamomile,Leaves,Herbal Tea,Iowa,Decaf,200,270,190,470,234,1282,311,77,201,545,110,High
40940,Central,Small Market,Lemon,Leaves,Herbal Tea,Iowa,Decaf,80,140,110,220,104,596,150,33,95,254,55,High
40940,Central,Small Market,Darjeeling,Leaves,Tea,Iowa,Regular,190,210,140,400,228,1436,229,63,141,457,88,High
40940,Central,Small Market,Earl Grey,Leaves,Tea,Iowa,Regular,200,260,150,460,240,1391,294,91,169,534,125,High
40940,Central,Small Market,Colombian,Beans,Coffee,Missouri,Regular,90,110,50,200,86,484,107,32,42,193,65,High
40940,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Missouri,Decaf,70,100,60,170,75,956,90,23,46,165,44,Medium
40940,Central,Small Market,Green Tea,Leaves,Tea,Missouri,Regular,20,40,0,60,33,193,41,12,-4,74,45,Low
40940,Central,Small Market,Caffe Mocha,Beans,Espresso,Missouri,Regular,50,90,70,140,50,814,73,14,48,123,25,Medium
40940,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,40,80,60,120,42,771,61,11,38,103,23,Low
40940,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,30,60,10,90,43,256,61,39,-8,104,69,Low
40940,Central,Small Market,Lemon,Leaves,Herbal Tea,Missouri,Decaf,70,10,-20,80,84,625,18,26,-32,102,50,Low
40940,Central,Small Market,Darjeeling,Leaves,Tea,Missouri,Regular,30,40,10,70,35,191,47,11,9,82,38,Low
40940,Central,Small Market,Earl Grey,Leaves,Tea,Missouri,Regular,20,30,-10,50,30,165,38,11,-7,68,45,Low
40940,Central,Major Market,Amaretto,Beans,Coffee,Ohio,Regular,60,80,50,140,60,329,80,19,33,140,47,Medium
40940,Central,Major Market,Colombian,Beans,Coffee,Ohio,Regular,50,80,50,130,52,357,76,16,38,128,38,Medium
40940,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,50,80,20,130,54,427,75,49,-3,129,78,Medium
40940,Central,Major Market,Darjeeling,Leaves,Tea,Ohio,Regular,60,110,60,170,80,640,120,26,62,200,58,High
40940,Central,Major Market,Earl Grey,Leaves,Tea,Ohio,Regular,70,110,70,180,86,490,120,26,71,206,49,High
40940,Central,Major Market,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,90,40,150,59,331,73,22,18,132,55,Medium
